Token: GIFT	Lexema: Gift
Token: INT	Lexema: int
Token: IDENTIFICADOR	Lexema: suma
Token: PARENTESIS_A	Lexema: ¿
Token: INT	Lexema: int
Token: IDENTIFICADOR	Lexema: a
Token: COMA	Lexema: ,
Token: INT	Lexema: int
Token: IDENTIFICADOR	Lexema: b
Token: PARENTESIS_B	Lexema: ?
Token: BLOQUE_A	Lexema: ¡
Token: LOCAL	Lexema: local
Token: INT	Lexema: int
Token: IDENTIFICADOR	Lexema: x
Token: ASIGNAR	Lexema: =
Token: IDENTIFICADOR	Lexema: a
Token: SUMA	Lexema: +
Token: IDENTIFICADOR	Lexema: b
Token: ENDL	Lexema: endl
Token: RETURN	Lexema: return
Token: IDENTIFICADOR	Lexema: x
Token: ENDL	Lexema: endl
Token: BLOQUE_C	Lexema: !
Token: COAL	Lexema: Coal
Token: NAVIDAD	Lexema: Navidad
Token: PARENTESIS_A	Lexema: ¿
Token: PARENTESIS_B	Lexema: ?
Token: BLOQUE_A	Lexema: ¡
Token: SHOW	Lexema: show
Token: INT_LITERAL	Lexema: 1
Token: ENDL	Lexema: endl
Token: BLOQUE_C	Lexema: !
